month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2024-01-01T00:00:00.000,B DIVISION,S Rock,2,429,426,0.993007
2024-01-01T00:00:00.000,B DIVISION,W,1,831,741,0.89169675
2024-02-01T00:00:00.000,A DIVISION,1,1,1627,1529,0.93976647
2024-02-01T00:00:00.000,A DIVISION,1,2,1065,1005,0.943662
2024-02-01T00:00:00.000,A DIVISION,2,1,2104,1938,0.92110264
2024-02-01T00:00:00.000,A DIVISION,2,2,1508,1345,0.89190984
2024-02-01T00:00:00.000,A DIVISION,3,1,1988,1880,0.94567406
2024-02-01T00:00:00.000,A DIVISION,3,2,615,587,0.9544715
2024-02-01T00:00:00.000,A DIVISION,4,1,2696,2593,0.9617953
2024-02-01T00:00:00.000,A DIVISION,4,2,1856,1697,0.9143319
2024-02-01T00:00:00.000,A DIVISION,5,1,2459,2285,0.9292395
2024-02-01T00:00:00.000,A DIVISION,5,2,798,745,0.933584
2024-02-01T00:00:00.000,A DIVISION,6,1,1953,1843,0.9436764
2024-02-01T00:00:00.000,A DIVISION,6,2,1111,1058,0.95229524
2024-02-01T00:00:00.000,A DIVISION,7,1,2663,2594,0.9740894
2024-02-01T00:00:00.000,A DIVISION,7,2,1040,1027,0.9875
2024-02-01T00:00:00.000,A DIVISION,S 42nd,1,1966,1959,0.99643946
2024-02-01T00:00:00.000,A DIVISION,S 42nd,2,1392,1392,1.0
2024-02-01T00:00:00.000,B DIVISION,A,1,2405,2262,0.94054055
