month,division,line,period,num_passengers,additional_platform_time,additional_train_time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer_journey_time
2024-03-01T00:00:00.000,A DIVISION,7,offpeak,3644300.0,0.9247906,0.45099047,3370214.5,1643544.6,392268.5,0.10763891,0.8923611
2024-03-01T00:00:00.000,A DIVISION,7,peak,4060673.2,0.76334536,0.41970065,3099696.0,1704267.2,307897.9,0.07582434,0.9241757
2024-03-01T00:00:00.000,A DIVISION,S 42nd,offpeak,354165.0,0.5446046,-0.09268094,192879.89,-32824.344,8174.4,0.023080768,0.97691923
2024-03-01T00:00:00.000,A DIVISION,S 42nd,peak,430642.8,0.3637948,-0.11332342,156665.61,-48801.914,555.89996,0.0012908609,0.99870914
2024-03-01T00:00:00.000,B DIVISION,A,offpeak,3608879.8,1.3798599,1.0074414,4979748.5,3635735.0,814856.2,0.225792,0.774208
2024-03-01T00:00:00.000,B DIVISION,A,peak,4381627.5,1.3473891,0.948342,5903757.5,4155281.8,776463.8,0.17720899,0.822791
2024-03-01T00:00:00.000,B DIVISION,B,offpeak,1909383.2,2.359921,1.3580548,4505994.0,2593047.2,497598.2,0.26060677,0.73939323
2024-03-01T00:00:00.000,B DIVISION,B,peak,2776521.0,2.2519896,1.2004329,6252696.5,3333027.0,689832.3,0.24845204,0.751548
2024-03-01T00:00:00.000,B DIVISION,C,offpeak,2494631.5,1.6221467,0.73792994,4046658.5,1840863.2,496200.5,0.19890733,0.8010927
2024-03-01T00:00:00.000,B DIVISION,C,peak,2117244.0,1.8682085,0.5438794,3955453.2,1151525.4,373503.8,0.17641038,0.8235896
2024-03-01T00:00:00.000,B DIVISION,D,offpeak,2988227.5,1.750224,0.9281071,5230067.5,2773395.0,747985.0,0.2503106,0.7496894
2024-03-01T00:00:00.000,B DIVISION,D,peak,2839787.2,1.3949383,0.72216266,3961328.0,2050788.2,569810.8,0.20065264,0.79934734
2024-03-01T00:00:00.000,B DIVISION,E,offpeak,3103008.0,1.1615956,0.99373883,3604440.2,3083579.5,599021.7,0.1930455,0.8069545
2024-03-01T00:00:00.000,B DIVISION,E,peak,3424375.5,1.095153,-0.19858,3750215.0,-680012.44,379909.2,0.110942625,0.8890574
2024-03-01T00:00:00.000,B DIVISION,F,offpeak,4132238.5,1.8558074,0.84653133,7668639.0,3498069.5,1011411.2,0.2447611,0.7552389
2024-03-01T00:00:00.000,B DIVISION,F,peak,4734643.0,1.5915221,0.1238368,7535289.0,586323.06,778449.8,0.16441573,0.8355843
2024-03-01T00:00:00.000,B DIVISION,G,offpeak,1242653.5,1.3974378,1.1196446,1736531.0,1391330.4,245450.6,0.19752136,0.8024787
2024-03-01T00:00:00.000,B DIVISION,G,peak,1454722.8,1.4160726,0.8169065,2059993.0,1188372.5,282249.8,0.19402309,0.8059769
2024-03-01T00:00:00.000,B DIVISION,JZ,offpeak,1343189.0,1.3689053,0.6837075,1838698.5,918348.4,268067.7,0.19957556,0.80042446
2024-03-01T00:00:00.000,B DIVISION,JZ,peak,1434371.1,1.4891803,0.56936866,2136037.2,816685.94,255440.8,0.17808557,0.82191443
2024-03-01T00:00:00.000,B DIVISION,L,offpeak,2614772.5,0.8537384,0.5916814,2232331.8,1547112.4,244410.2,0.09347284,0.90652716
2024-03-01T00:00:00.000,B DIVISION,L,peak,2680998.5,0.8159305,0.42379662,2187508.5,1136198.1,178752.2,0.06667374,0.93332624
2024-03-01T00:00:00.000,B DIVISION,M,offpeak,983699.8,1.3663532,0.13864651,1344081.4,136386.55,149622.2,0.15210149,0.84789854
2024-03-01T00:00:00.000,B DIVISION,M,peak,1030314.2,1.3233278,0.21145083,1363443.5,217860.8,160798.8,0.15606773,0.8439323
2024-03-01T00:00:00.000,B DIVISION,N,offpeak,2490139.5,1.4187907,0.69083095,3532986.8,1720265.4,480511.9,0.19296587,0.80703413
2024-03-01T00:00:00.000,B DIVISION,N,peak,2759567.8,1.2602652,0.43537068,3477787.2,1201434.9,434055.1,0.15729097,0.842709
2024-03-01T00:00:00.000,B DIVISION,Q,offpeak,3160972.8,2.0793598,0.8840165,6572799.5,2794352.2,707532.9,0.2238339,0.7761661
2024-03-01T00:00:00.000,B DIVISION,Q,peak,3320362.2,1.4956973,0.7954842,4966257.0,2641295.8,684023.3,0.20600863,0.7939914
2024-03-01T00:00:00.000,B DIVISION,R,offpeak,3589638.2,1.7743407,0.11255975,6369241.5,404048.78,783294.1,0.21820976,0.78179026
2024-03-01T00:00:00.000,B DIVISION,R,peak,4367676.0,1.5101626,0.04991076,6595901.0,217994.05,734803.7,0.16823676,0.8317632
2024-03-01T00:00:00.000,B DIVISION,S Fkln,offpeak,191074.8,0.6932698,0.06421188,132466.39,12269.272,8628.1,0.045155615,0.9548444
2024-03-01T00:00:00.000,B DIVISION,S Fkln,peak,186425.4,0.4189305,0.062276933,78099.29,11610.002,5436.6,0.029162334,0.97083765
2024-03-01T00:00:00.000,B DIVISION,S Rock,offpeak,27325.8,0.86805296,-1.0266932,23720.242,-28055.213,2768.4,0.10131085,0.89868915
2024-03-01T00:00:00.000,B DIVISION,S Rock,peak,19397.7,0.9117395,-1.1187457,17685.65,-21701.092,1892.2,0.09754764,0.90245235
2024-03-01T00:00:00.000,B DIVISION,W,offpeak,1317861.5,0.84546846,0.20497409,1114210.2,270127.44,141839.7,0.10762869,0.8923713
2024-03-01T00:00:00.000,B DIVISION,W,peak,1411954.4,0.91722757,0.0067086155,1295083.5,9472.259,114925.2,0.08139441,0.91860557
2024-04-01T00:00:00.000,A DIVISION,1,offpeak,4778890.0,1.172427,0.85903805,5602899.5,4105248.2,648714.1,0.13574578,0.86425424
2024-04-01T00:00:00.000,A DIVISION,1,peak,5037462.5,1.8613563,0.7763932,9376512.0,3911051.5,614847.7,0.12205504,0.87794495
2024-04-01T00:00:00.000,A DIVISION,2,offpeak,3173538.5,1.7943944,0.7638495,5694579.5,2424105.8,608830.6,0.19184598,0.808154
2024-04-01T00:00:00.000,A DIVISION,2,peak,3621922.5,1.6477817,0.42282528,5968138.0,1531440.2,494250.6,0.13646084,0.86353916
2024-04-01T00:00:00.000,A DIVISION,3,offpeak,2368340.0,1.2587826,0.54100263,2981225.2,1281278.2,331737.1,0.14007157,0.8599284
2024-04-01T00:00:00.000,A DIVISION,3,peak,2736198.2,1.6177349,0.51414025,4426443.5,1406789.5,334268.1,0.122165166,0.87783486
2024-04-01T00:00:00.000,A DIVISION,4,offpeak,4225165.0,1.0101317,0.4433622,4267973.0,1873278.4,569347.4,0.13475153,0.8652485
2024-04-01T00:00:00.000,A DIVISION,4,peak,4307078.0,0.8742468,0.3714742,3765448.8,1599968.2,482636.5,0.1120566,0.8879434
2024-04-01T00:00:00.000,A DIVISION,5,offpeak,2770411.2,1.16651,0.56326365,3231712.5,1560471.9,399975.2,0.14437395,0.85562605
2024-04-01T00:00:00.000,A DIVISION,5,peak,3566468.2,0.8830449,0.27153435,3149351.8,968418.6,399482.3,0.11201061,0.8879894
2024-04-01T00:00:00.000,A DIVISION,6,offpeak,5763105.5,1.1178297,0.61272156,6442170.5,3531178.8,653649.2,0.113419615,0.8865804
2024-04-01T00:00:00.000,A DIVISION,6,peak,6121126.0,1.1598333,0.7030762,7099485.5,4303617.5,749164.9,0.12239005,0.87760997
2024-04-01T00:00:00.000,A DIVISION,7,offpeak,4024156.8,1.1093979,0.735471,4464391.0,2959650.8,547605.3,0.13607952,0.8639205
2024-04-01T00:00:00.000,A DIVISION,7,peak,4391726.0,1.160038,0.65019536,5094569.0,2855479.8,457925.0,0.104269944,0.8957301
2024-04-01T00:00:00.000,A DIVISION,S 42nd,offpeak,383233.4,1.2429183,-0.10081121,476327.78,-38634.223,11647.8,0.030393489,0.9696065
2024-04-01T00:00:00.000,A DIVISION,S 42nd,peak,446463.6,0.41325635,-0.115604796,184503.92,-51613.332,1757.7001,0.003936939,0.99606305
2024-04-01T00:00:00.000,B DIVISION,A,offpeak,3951084.5,1.261254,0.8018674,4983321.0,3168246.0,830636.9,0.2102301,0.7897699
2024-04-01T00:00:00.000,B DIVISION,A,peak,4809296.5,1.0278316,0.5196898,4943146.5,2499342.2,743933.3,0.15468651,0.8453135
2024-04-01T00:00:00.000,B DIVISION,B,offpeak,2138593.0,1.782798,0.9208527,3812679.5,1969329.2,511935.8,0.23937972,0.7606203
2024-04-01T00:00:00.000,B DIVISION,B,peak,3153788.2,1.6835645,0.9905468,5309606.0,3123975.0,701169.2,0.22232603,0.77767396
